Rating,Company_Name,Headquarters,Founded,Type_of_ownership,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Job_State,new_job_title,Year_of_Operation,Business_Size,Python,Excel,Tableau,Power_BI,SQL,AWS,Hadoop,Azure,Spark,Machine_Learning,Matlab
4.3,SMC 3,"Peachtree City, GA",1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million ,63.0,105,84.0,KY,Data Scientist,90,Medium Business,1,1,1,0,1,0,0,0,0,0,0
3.9,Mars,"Mc Lean, VA",1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion ,,1,,OR,Data Scientist,114,Enterprise Business,1,0,0,0,0,1,0,0,1,1,0
4.0,Novetta,"Mc Lean, VA",2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,109.0,177,143.0,VA,Data Scientist,13,Large Business,1,0,0,0,0,1,0,0,0,1,0
4.0,Pfizer,"New York, NY",1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,63.0,110,86.5,MA,Data Scientist,176,Enterprise Business,1,1,0,0,0,1,0,0,0,1,1
3.5,First Tech Federal Credit Union,"San Jose, CA",1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million ,75.0,124,99.5,OR,Data Scientist,73,Enterprise Business,1,1,1,0,1,1,0,0,1,1,0
3.7,The Hanover Insurance Group,"Worcester, MA",1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion ,34.0,61,47.5,MA,Data Analyst,173,Enterprise Business,0,1,0,0,0,0,0,0,0,0,0
4.0,Pfizer,"New York, NY",1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,63.0,105,84.0,CT,Data Scientist,176,Enterprise Business,0,1,0,0,0,1,0,0,0,0,0
4.8,KnowBe4,"Clearwater, FL",2010,Company - Private,Security Services,Business Services,$100 to $500 million ,80.0,90,85.0,FL,Data Scientist,15,Large Business,1,1,0,0,1,0,0,0,1,1,0
3.8,PNNL,"Richland, WA",1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,56.0,97,76.5,WA,Data Scientist,60,Enterprise Business,1,0,0,0,0,0,0,0,0,1,0
3.6,Amrock,"Detroit, MI",1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion ,72.0,120,96.0,MI,Data Scientist,28,Enterprise Business,1,0,0,0,1,0,0,0,0,1,0
3.8,Novartis,"Basel, Switzerland",1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,86.0,143,114.5,MA,Data Scientist,29,Enterprise Business,1,0,0,0,0,0,0,0,0,1,0
3.8,Juniper Networks,"Sunnyvale, CA",1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion ,93.0,149,121.0,CA,Data Scientist,29,Enterprise Business,1,1,0,0,1,0,0,0,1,1,0
4.7,New England Biolabs,"Ipswich, MA",1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,85.0,140,112.5,MA,Data Scientist,51,Large Business,1,1,0,0,0,0,0,0,0,0,0
4.2,Clarity Insights,"Chicago, IL",2008,Company - Private,IT Services,Information Technology,Unknown,77.0,135,106.0,CA,Data Analyst,17,Large Business,1,1,1,1,1,0,0,0,0,0,0
3.5,Esri,"Redlands, CA",1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion ,82.0,132,107.0,CA,Data Scientist,56,Enterprise Business,1,0,1,0,0,1,1,1,1,1,0
4.7,Systems & Technology Research,"Woburn, MA",2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,83.0,137,110.0,MA,Data Scientist,15,Large Business,1,1,0,0,1,0,1,0,1,1,0
3.5,Sartorius,"Gottingen, Germany",1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion ,115.0,180,147.5,CA,Data Scientist,155,Enterprise Business,1,1,0,0,0,0,0,0,0,1,1
3.5,Lancer Insurance,"Long Beach, NY",1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million ,74.0,138,106.0,NY,Data Engineer,40,Large Business,1,1,0,0,1,0,0,0,0,0,0
4.2,Sauce Labs,"San Francisco, CA",2008,Company - Private,IT Services,Information Technology,$50 to $100 million ,64.0,112,88.0,CA,Data Analyst,17,Large Business,1,1,1,0,1,1,0,0,0,0,0
4.1,Amount,"Chicago, IL",2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,,1,,IL,Data Scientist,10,Large Business,1,0,0,0,0,0,0,0,0,1,0
3.6,Persivia,"Lowell, MA",2025,Company - Private,Other Industries,Other Sector,Less than $1 million ,68.0,129,98.5,MA,Data Engineer,0,Small Business,0,1,0,0,1,0,0,0,0,0,0
4.2,Nuna,"San Francisco, CA",2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,110.0,175,142.5,CA,Data Scientist,15,Medium Business,0,0,0,0,0,0,0,0,0,1,0
3.4,Edgewell Personal Care,"Shelton, CT",2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion ,52.0,113,82.5,NJ,Other,10,Enterprise Business,0,0,0,0,0,1,0,0,0,0,0
4.3,Equity Residential,"Chicago, IL",1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion ,110.0,150,130.0,IL,Data Scientist,32,Enterprise Business,1,1,1,0,1,0,1,0,1,1,0
5.0,Brightside,"San Francisco, CA",2017,Company - Private,Investment Banking & Asset Management,Finance,Unknown,,1,,AZ,Data Scientist,8,Medium Business,1,0,1,0,1,1,0,1,0,1,0
5.0,BPA Services,"Alexandria, VA",2025,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,150.0,160,155.0,DC,Data Scientist,0,Unknown,0,1,0,0,0,1,0,0,0,0,0
3.7,Visa Inc.,"Foster City, CA",1958,Company - Public,IT Services,Information Technology,$10+ billion ,158.0,211,184.5,WA,Data Scientist,67,Enterprise Business,1,1,1,0,1,0,0,0,0,1,0
3.1,Intrado,"Omaha, NE",1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion ,20.0,39,29.5,CO,Data Analyst,39,Enterprise Business,0,1,0,0,0,0,0,0,0,0,0
4.7,Centauri,"Chantilly, VA",1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,56.0,117,86.5,OH,Other,26,Large Business,0,0,0,0,0,0,0,0,0,0,0
3.7,Caterpillar,"Deerfield, IL",1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion ,63.0,99,81.0,IL,Data Scientist,100,Enterprise Business,0,0,1,0,0,0,0,0,0,0,0
4.5,Anson McCade,"London, United Kingdom",2000,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million ,,1,,IL,Data Engineer,25,Medium Business,1,0,0,0,1,0,0,0,1,0,0
3.8,Zimmerman Advertising,"Fort Lauderdale, FL",1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,68.0,114,91.0,FL,Data Scientist,41,Large Business,1,1,1,0,1,0,1,0,0,1,0
3.3,Liberty Mutual Insurance,"Boston, MA",1912,Company - Private,Insurance Carriers,Insurance,$10+ billion ,86.0,143,114.5,MA,Data Scientist,113,Enterprise Business,1,0,0,0,0,0,0,0,0,1,0
4.6,"Torch Technologies, Inc.","Huntsville, AL",2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,41.0,95,68.0,AL,Data Scientist,23,Enterprise Business,1,1,1,0,0,0,0,0,0,0,0
3.7,Swiss Re,"Zurich, Switzerland",1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion ,86.0,144,115.0,NY,Data Scientist,162,Enterprise Business,1,1,0,0,1,0,0,0,0,1,1
3.7,Northrop Grumman,"Falls Church, VA",1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion ,80.0,139,109.5,CA,Data Scientist,86,Enterprise Business,0,1,1,0,1,0,0,0,0,0,0
3.5,Sartorius,"Gottingen, Germany",1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion ,56.0,95,75.5,NM,Data Scientist,155,Enterprise Business,1,1,0,0,0,0,0,0,0,1,1
4.1,Netskope,"Santa Clara, CA",2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,120.0,189,154.5,CA,Data Scientist,13,Large Business,1,1,0,0,0,0,0,0,1,1,0
4.7,1904labs,"Saint Louis, MO",2016,Company - Private,IT Services,Information Technology,Unknown,111.0,176,143.5,MO,Data Scientist,9,Medium Business,1,0,0,0,1,0,0,0,1,1,0
4.1,ClearOne Advantage,"Baltimore, MD",2008,Company - Private,Banks & Credit Unions,Finance,Unknown,54.0,93,73.5,MD,Data Scientist,17,Large Business,0,1,0,0,0,0,0,0,0,0,0
3.4,CyrusOne,"Dallas, TX",2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion ,71.0,119,95.0,TX,Data Scientist,25,Large Business,1,1,0,1,1,1,0,1,0,1,0
3.1,Amica Mutual,"Lincoln, RI",1907,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion ,,1,,RI,Data Analyst,118,Enterprise Business,0,1,0,0,1,0,0,0,0,0,0
4.4,The David J. Joseph Company,"Cincinnati, OH",1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown,82.0,132,107.0,OH,Data Scientist,140,Large Business,1,0,1,0,1,1,0,0,0,1,0
4.3,USEReady,"New York, NY",2011,Company - Private,Consulting,Business Services,$10 to $25 million ,84.0,146,115.0,NY,Data Scientist,14,Large Business,1,0,1,0,1,1,1,1,1,1,0
3.8,Bill.com,"Palo Alto, CA",2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million ,107.0,172,139.5,CA,Data Scientist,19,Large Business,0,0,0,0,1,0,0,0,0,1,0
3.8,Pacific Northwest National Laboratory,"Richland, WA",1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,49.0,85,67.0,WA,Data Scientist,60,Enterprise Business,0,0,0,0,0,0,0,0,0,1,0
4.5,Blue Owl,"San Francisco, CA",2016,Company - Private,Internet,Information Technology,Unknown,,1,,CA,Data Scientist,9,Medium Business,1,0,0,0,0,0,0,0,0,1,0
3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA",1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion ,61.0,109,85.0,PA,Data Scientist,77,Enterprise Business,1,0,0,0,1,0,0,0,0,1,0
2.2,Great-Circle Technologies,"Chantilly, VA",2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million ,,1,,VA,Data Scientist,25,Small Business,1,1,0,0,1,1,1,0,1,1,0
2.8,Berg Health,"Framingham, MA",2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million ,88.0,148,118.0,MA,Data Scientist,19,Medium Business,1,1,0,0,1,0,0,0,0,0,0
4.7,Oversight Systems,"Atlanta, GA",2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,60.0,99,79.5,GA,Data Scientist,22,Medium Business,1,1,0,0,1,0,0,0,0,1,0
4.9,Avlino,"Holmdel, NJ",2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million ,,1,,NJ,Data Scientist,12,Small Business,1,0,0,0,0,0,1,0,1,1,0
3.1,C Space,"Boston, MA",1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million ,41.0,72,56.5,MA,Data Scientist,26,Large Business,1,0,1,0,1,0,0,0,0,1,0
3.2,"Numeric, LLC","Chadds Ford, PA",2025,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million ,96.0,161,128.5,PA,Data Scientist,0,Small Business,1,0,0,0,1,1,1,0,1,1,0
4.0,HP Inc.,"Palo Alto, CA",1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown,65.0,130,97.5,WA,Other,86,Enterprise Business,0,0,0,0,0,0,0,0,0,0,0
4.4,SpringML,"Pleasanton, CA",2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,52.0,81,66.5,IN,Other,10,Small Business,1,0,1,0,0,0,0,0,0,0,0
3.6,Grainger,"Lake Forest, IL",1927,Company - Public,Wholesale,Business Services,$10+ billion ,139.0,220,179.5,IL,Data Scientist,98,Enterprise Business,1,1,0,0,1,0,0,0,0,1,0
2.7,EAG Laboratories,"San Diego, CA",1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million ,50.0,102,76.0,MO,Other,47,Large Business,0,1,0,0,0,0,0,0,0,0,0
3.9,The Buffalo Group,"Reston, VA",2010,Company - Private,IT Services,Information Technology,$100 to $500 million ,85.0,139,112.0,VA,Data Scientist,15,Large Business,1,0,0,0,1,0,1,0,1,1,0
3.1,Carmeuse,"Louvain-la-Neuve, Belgium",1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion ,74.0,122,98.0,PA,Data Scientist,165,Enterprise Business,1,0,0,0,0,0,0,1,0,1,0
4.0,HP Inc.,"Palo Alto, CA",1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown,99.0,157,128.0,WA,Data Scientist,86,Enterprise Business,0,0,0,0,1,1,0,0,1,1,0
4.3,h2o.ai,"Mountain View, CA",2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,79.0,222,150.5,CA,Data Scientist,14,Large Business,1,1,0,0,0,1,1,1,1,1,0
1.9,GNS Healthcare,"Cambridge, MA",2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million ,57.0,118,87.5,MA,Data Scientist,25,Medium Business,0,0,0,0,0,1,0,0,0,1,0
3.3,Peraton,"Herndon, VA",2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,83.0,137,110.0,VA,Data Scientist,8,Enterprise Business,1,1,0,0,0,0,1,0,0,1,1
4.4,Pactera,"Beijing, China",1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion ,86.0,141,113.5,CA,Data Scientist,30,Enterprise Business,1,1,0,0,0,0,0,0,0,1,0
3.9,Nurx,"San Francisco, CA",2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million ,94.0,154,124.0,CA,Data Scientist,9,Medium Business,1,0,0,0,1,0,0,0,0,1,0
4.7,webfx.com,"Harrisburg, PA",1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million ,37.0,76,56.5,PA,Data Analyst,28,Large Business,0,1,0,0,0,0,0,0,0,0,0
4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD",1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,100.0,160,130.0,MD,Data Scientist,83,Enterprise Business,1,1,0,0,0,0,0,0,0,1,0
4.3,Productive Edge,"Chicago, IL",2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,55.0,100,77.5,IL,Data Analyst,17,Medium Business,0,1,0,0,1,0,0,0,0,1,0
4.0,Excella Consulting,"Arlington, VA",2002,Company - Private,Consulting,Business Services,$50 to $100 million ,60.0,114,87.0,VA,Data Engineer,23,Large Business,1,1,0,0,1,1,0,0,0,0,0
4.4,Gensco,"Tacoma, WA",1948,Company - Private,Wholesale,Business Services,$100 to $500 million ,39.0,68,53.5,WA,Data Analyst,77,Large Business,0,1,0,0,0,0,0,0,0,0,0
3.2,Walmart,"Bentonville, AR",1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion ,106.0,172,139.0,TX,Data Scientist,63,Enterprise Business,0,0,0,0,1,0,1,0,0,0,1
3.8,Logic20/20,"Seattle, WA",2005,Company - Private,Consulting,Business Services,$25 to $50 million ,86.0,142,114.0,CA,Data Scientist,20,Large Business,1,1,0,0,1,1,0,0,1,1,0
4.2,goTRG,"Miami, FL",2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,64.0,107,85.5,FL,Data Scientist,17,Large Business,1,1,0,0,1,0,1,0,1,1,0
4.5,NMR Consulting,"Chantilly, VA",1996,Company - Private,IT Services,Information Technology,$25 to $50 million ,31.0,65,48.0,AL,Data Engineer,29,Medium Business,0,1,0,0,1,0,1,0,0,0,0
4.9,Kodiak Robotics,"Mountain View, CA",2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown,,1,,CA,Machine Learning Engineer,7,Medium Business,1,1,0,0,0,0,0,0,0,1,0
3.5,iSeatz,"New Orleans, LA",1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,34.0,62,48.0,LA,Data Analyst,26,Medium Business,0,1,0,0,1,0,0,0,0,0,0
4.7,ThousandEyes,"San Francisco, CA",2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown,,1,,CA,Data Engineer,15,Large Business,1,0,0,0,1,0,0,0,1,0,0
3.5,Nektar Therapeutics,"San Francisco, CA",1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,117.0,231,174.0,CA,Other,35,Large Business,0,1,0,0,0,0,0,0,0,0,0
3.9,TransUnion,"Chicago, IL",1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion ,64.0,106,85.0,GA,Data Scientist,57,Enterprise Business,1,0,0,0,1,0,0,0,1,1,0
4.0,Peterson Technology Partners,"Park Ridge, IL",1997,Contract,Computer Hardware & Software,Information Technology,$25 to $50 million ,,1,,TX,Data Scientist,28,Large Business,1,0,0,0,0,0,0,0,0,1,0
4.7,IT Concepts,"Vienna, VA",2003,Company - Private,IT Services,Information Technology,$10 to $25 million ,79.0,134,106.5,MD,Other,22,Medium Business,0,0,0,0,0,0,0,0,0,0,0
4.2,Scientific Research Corporation,"Atlanta, GA",1988,Company - Private,IT Services,Information Technology,$100 to $500 million ,52.0,93,72.5,MD,Data Analyst,37,Enterprise Business,0,1,0,0,0,0,0,0,0,0,0
3.4,General Dynamics Information Technology,"Fairfax, VA",1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion ,55.0,116,85.5,MD,Other,29,Enterprise Business,0,0,0,0,0,0,0,0,0,0,0
3.2,MITRE,"Bedford, MA",1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion ,72.0,123,97.5,VA,Data Scientist,67,Enterprise Business,1,1,1,1,1,0,0,0,0,0,1
3.9,The Buffalo Group,"Reston, VA",2010,Company - Private,IT Services,Information Technology,$100 to $500 million ,74.0,124,99.0,VA,Data Scientist,15,Large Business,1,1,1,0,0,0,0,0,0,0,0
3.1,DentaQuest,"Boston, MA",2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion ,40.0,73,56.5,WI,Data Analyst,24,Enterprise Business,0,1,0,0,1,0,0,0,0,0,0
4.1,Redjack,"Silver Spring, MD",2007,Company - Private,IT Services,Information Technology,Unknown,102.0,164,133.0,MD,Data Scientist,18,Small Business,1,0,0,0,0,0,0,0,0,0,0
5.0,Alector,"South San Francisco, CA",2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,,1,,CA,Other,12,Medium Business,0,1,0,0,0,1,0,0,0,0,0
3.8,7Park Data,"New York, NY",2012,Company - Private,Research & Development,Business Services,Unknown,89.0,153,121.0,NY,Data Scientist,13,Medium Business,1,0,0,0,0,0,0,0,1,1,0
4.7,Rapid Response Monitoring,"Syracuse, NY",1992,Company - Private,Security Services,Business Services,Unknown,61.0,110,85.5,NY,Data Scientist,33,Large Business,1,0,0,0,1,0,0,0,0,0,0
0.0,Bridgerock Data,"Gainesville, FL",2025,Unknown,Other Industries,Other Sector,Unknown,,1,,FL,Data Scientist,0,Small Business,1,1,0,0,1,0,0,0,0,0,0
4.5,NuWave Solutions,"Mc Lean, VA",1999,Company - Private,IT Services,Information Technology,$5 to $10 million ,,1,,VA,Data Engineer,26,Medium Business,0,1,0,0,0,1,0,1,1,0,0
4.3,Trilogy Ed,"New York, NY",2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown,65.0,110,87.5,TX,Data Scientist,10,Enterprise Business,1,0,0,0,1,0,0,0,0,1,0
4.2,Gallup,"Washington, DC",1935,Company - Private,Consulting,Business Services,Unknown,200.0,275,237.5,DC,Data Scientist,90,Enterprise Business,1,1,0,0,0,0,0,0,0,1,0
3.9,CapTech,"Richmond, VA",1997,Company - Private,IT Services,Information Technology,$100 to $500 million ,68.0,123,95.5,NC,Data Engineer,28,Enterprise Business,1,0,1,0,1,0,0,0,1,0,0
3.3,American Axle & Manufacturing,"Detroit, MI",1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion ,80.0,129,104.5,MI,Data Scientist,31,Enterprise Business,1,1,0,1,1,1,0,0,1,1,0
4.7,CentralReach,"Pompano Beach, FL",2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,41.0,72,56.5,NJ,Data Analyst,13,Large Business,0,1,1,0,1,0,0,0,0,0,0
0.0,LEAH Labs,"Rochester, MN",2025,Unknown,Other Industries,Other Sector,Unknown,,1,,MN,Other,0,Small Business,0,0,0,0,0,0,0,0,0,0,0
4.3,Integrate,"Phoenix, AZ",2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million ,39.0,71,55.0,AZ,Data Analyst,15,Large Business,0,1,0,1,1,0,0,1,0,0,0
2.9,Boys Town Hospital,"Omaha, NE",1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown,38.0,85,61.5,NE,Data Scientist,48,Enterprise Business,0,1,0,0,0,0,0,0,0,0,0
4.5,Demandbase,"San Francisco, CA",2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million ,121.0,193,157.0,CA,Data Scientist,19,Large Business,0,0,0,0,0,1,0,0,1,1,0
3.4,Sapphire Digital,"Lyndhurst, NJ",2019,Company - Private,Internet,Information Technology,Unknown,54.0,102,78.0,NJ,Data Engineer,6,Large Business,1,0,0,0,1,0,0,0,0,0,0
3.7,Takeda Pharmaceuticals,"OSAKA, Japan",1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,83.0,144,113.5,MA,Data Scientist,244,Enterprise Business,1,0,0,0,1,0,0,0,1,1,0
4.6,<intent>,"New York, NY",2009,Company - Private,Internet,Information Technology,$100 to $500 million ,120.0,160,140.0,NY,Data Scientist,16,Medium Business,1,0,0,0,0,0,0,0,1,1,0
3.2,Formation,"San Francisco, CA",2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,102.0,163,132.5,CA,Data Scientist,10,Medium Business,0,1,0,0,0,0,0,0,1,1,0
